Date,Day,EmpID, Sales 
01/01/2023,Sunday,1001,690
01/01/2023,Sunday,1003,590
01/01/2023,Sunday,1015,785
01/01/2023,Sunday,1013,800
01/01/2023,Sunday,1014,810
05/01/2023,Thursday,1001,875
05/01/2023,Thursday,1002, -   
05/01/2023,Thursday,1003,790
05/01/2023,Thursday,1006,945
06/01/2023,Friday,1001,425
06/01/2023,Friday,1002,650
06/01/2023,Friday,1003,830
06/01/2023,Friday,1006, -   
06/01/2023,Friday,1007,730
07/01/2023,Saturday,1001,415
07/01/2023,Saturday,1003,500
07/01/2023,Saturday,1006, -   
07/01/2023,Saturday,1002,625
07/01/2023,Saturday,1010,460
07/01/2023,Saturday,1009,465
08/01/2023,Sunday,1001,640
08/01/2023,Sunday,1002,380
08/01/2023,Sunday,1003,700
08/01/2023,Sunday,1006,150
08/01/2023,Sunday,1010,525
08/01/2023,Sunday,1009,630
08/01/2023,Sunday,1011,790
08/01/2023,Sunday,1012,695
09/01/2023,Monday,1001,160
09/01/2023,Monday,1002,115
09/01/2023,Monday,1003, -   
09/01/2023,Monday,1012,420
09/01/2023,Monday,1011,250
09/01/2023,Monday,1009,330
09/01/2023,Monday,1010,315
09/01/2023,Monday,1013,215
10/01/2023,Tuesday,1001,305
10/01/2023,Tuesday,1002,345
10/01/2023,Tuesday,1003,345
10/01/2023,Tuesday,1012,540
10/01/2023,Tuesday,1011,525
10/01/2023,Tuesday,1009,375
10/01/2023,Tuesday,1010,345
10/01/2023,Tuesday,1013,540
11/01/2023,Wednesday,1001,450
11/01/2023,Wednesday,1002,640
11/01/2023,Wednesday,1003,320
11/01/2023,Wednesday,1012,240
11/01/2023,Wednesday,1011,280
11/01/2023,Wednesday,1009,320
11/01/2023,Wednesday,1013,420
12/01/2023,Thursday,1001,620
12/01/2023,Thursday,1003, -   
12/01/2023,Thursday,1012,655
12/01/2023,Thursday,1013,475
12/01/2023,Thursday,1014,670
12/01/2023,Thursday,1015,445
13/01/2023,Friday,1001,830
13/01/2023,Friday,1003,510
13/01/2023,Friday,1015,835
13/01/2023,Friday,1013,770
13/01/2023,Friday,1014,580
14/01/2023,Saturday,1001,585
14/01/2023,Saturday,1003,390
14/01/2023,Saturday,1015,725
14/01/2023,Saturday,1013,625
14/01/2023,Saturday,1014,420
15/01/2023,Sunday,1001,520
15/01/2023,Sunday,1003,555
15/01/2023,Sunday,1015,790
15/01/2023,Sunday,1013,810
15/01/2023,Sunday,1014,585
16/01/2023,Monday,1001,560
16/01/2023,Monday,1003,470
16/01/2023,Monday,1015,590
16/01/2023,Monday,1013,740
16/01/2023,Monday,1014,560
17/01/2023,Tuesday,1001,785
17/01/2023,Tuesday,1003, -   
17/01/2023,Tuesday,1015,640
17/01/2023,Tuesday,1013,710
17/01/2023,Tuesday,1014, -   
18/01/2023,Wednesday,1001,250
18/01/2023,Wednesday,1003,270
18/01/2023,Wednesday,1015, -   
18/01/2023,Wednesday,1013,200
18/01/2023,Wednesday,1014,240
19/01/2023,Thursday,1001,515
19/01/2023,Thursday,1003, -   
19/01/2023,Thursday,1015,825
19/01/2023,Thursday,1013,590
19/01/2023,Thursday,1014,670
