Date,EmpID,Expenses Type, Bank , Cash 
01/01/2023,1001,Comission,,35
01/01/2023,1003,Comission,,25
01/01/2023,1015,Comission,,35
01/01/2023,1013,Comission,,40
01/01/2023,1014,Comission,,40
01/01/2023,1001,Overtime,,30
01/01/2023,1014,Overtime,,10
01/01/2023,0,General Expenses,,20
01/01/2023,0,General Expenses,,6
05/01/2023,1001,Salary,"1,500.00",500
05/01/2023,0,Bank Fees,11.21,
05/01/2023,0,Bank Fees,1.71,
05/01/2023,0,Bank Fees,7.25,
05/01/2023,0,Bank Fees,1.09,
05/01/2023,1001,Comission,,45
05/01/2023,1002,Comission,, -   
05/01/2023,1003,Comission,,45
05/01/2023,1006,Comission,,50
05/01/2023,0,General Expenses,,10
05/01/2023,0,Bank Fees,9.84,
05/01/2023,0,Bank Fees,1.49,
05/01/2023,0,Bank Fees,10,
05/01/2023,0,Bank Fees,1.5,
06/01/2023,0,Bank Fees,12.08,
06/01/2023,0,Bank Fees,1.8,
06/01/2023,0,Bank Fees,7.5,
06/01/2023,0,Bank Fees,1.13,
06/01/2023,0,Salary,"1,000.00",
06/01/2023,1008,Salary,"2,500.00",
06/01/2023,1001,Salary,"1,500.00",500
06/01/2023,1006,Salary,"1,000.00",
06/01/2023,1003,Salary,"2,000.00",
06/01/2023,1007,Salary,500,
06/01/2023,1001,Comission,,30
06/01/2023,1002,Comission,,40
06/01/2023,1003,Comission,,60
06/01/2023,1006,Comission,, -   
06/01/2023,1007,Comission,,60
06/01/2023,1006,Overtime,,220
06/01/2023,1007,Overtime,,10
06/01/2023,0,General Expenses,,10
07/01/2023,0,Bank Fees,11.69,
07/01/2023,0,Bank Fees,1.79,
07/01/2023,0,Bank Fees,9.25,
07/01/2023,0,Bank Fees,1.39,
07/01/2023,0,Bank Fees,8.05,
07/01/2023,1008,Salary,"2,500.00",
07/01/2023,1001,Salary,"1,500.00",500
07/01/2023,1001,Comission,,35
07/01/2023,1003,Comission,,30
07/01/2023,1006,Comission,, -   
07/01/2023,1002,Comission,,50
07/01/2023,1010,Comission,,25
07/01/2023,1009,Comission,,20
07/01/2023,1001,Overtime,,20
